		Analysemetode_id														Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
NR-2022-06802	Sludge	ng/g		N 6648116.03, E 603920.36			44704.000	Appal?kka	Artificial grass pitch	Outdoor			Outdoor	Grabb			3.100	40.500	<1	8.200	8.000	4.500	<1	118.500	10.500	<1	<1	<1	73.500	<1	<1	<1	<10	<1	<1	<1	<1	<1	760.000	720.000						<1	<10	<1	<1	< 2	< 0.2	0.251	< 2																								
NR-2022-06818	Granule	ng/g		N 6644256.21, E 600713.35			7.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor			Outdoor	Grabb			12.200	275.000	17.900	328.000	84.100	47.900	<1	782.000	16.900	<1	<1	<1	128.000	<1	<1	<1	<10	<1	<1	<1	<1	157.000	6880.000	223.000						<1	<10	<1	<1	< 5	< 2	0.220	< 2																			< 1	2.363	6.112	9.487	< 4	5527.443
NR-2022-06816	Sludge	ng/g	59.919	10.805			7.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor			Outdoor	Grabb			<1	<1	<1	<1	<1	<1	<1	95.500	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	66.500	<1	655.000	4.500						<1	<10	<1	<1	< 2	< 0.2	0.860	< 2																			0.293	6.694	98.758	233.354	47.079	
NR-2022-06819	Granule	ng/g		N 6644164.96, E 600860.36			7.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor			Outdoor	Grabb			16.900	60.200	17.900	385.000	111.000	46.200	<1	1410.000	67.000	<1	<1	<1	181.000	<1	<1	<1	<10	<1	<1	<1	<1	139.000	8860.000	1120.000						<1	<10	<1	<1	< 5	< 2	0.268	< 2																			< 1	3.504	7.260	10.208	5.439	5232.502
NR-2022-06817	Sludge	ng/g		N 6644164.96, E 600860.36			7.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor			Outdoor	Grabb			14.000	108.000	4.500	334.500	311.500	170.500	<1	1935.000	530.000	<1	104.000	<1	2460.000	<1	<1	<1	<10	<1	<1	<1	<1	90.500	3325.000	13000.000						<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2																			1.998	5.810	18.834	12.177	< 5	
NR-2022-06821	Granule	ng/g	59.958	10.860			12.09.2022	Obos1	Artificial grass pitch	Indoor			Indoor	Grabb			37.100	517.000	55.300	1090.000	2770.000	242.000	196.000	4540.000	2200.000	<1	1750.000	<1	8050.000	363.000	<1	<1	<10	<1	<1	<1	236.000	4390.000	8060.000	50100.000						1320.000	<10	<1	<1	< 5	< 2	13.012	< 2																			20.738	84.920	117.897	82.470	42.289	13441.921
NR-2022-06822	Granule	ng/g	59.958	10.860			12.09.2022	Obos2	Artificial grass pitch	Indoor			Indoor	Grabb			58.800	759.000	59.300	1210.000	3280.000	318.000	253.000	4270.000	2230.000	<1	2560.000	<1	8290.000	268.000	<1	<1	<10	<1	<1	<1	119.000	5100.000	10450.000	52600.000						1390.000	<10	<1	<1	< 5	< 2	11.715	< 2																			21.822	83.517	112.051	68.827	26.795	6266.736
NR-2022-06823	Granule	ng/g	59.962	11.071			13.09.2022	LSK	Artificial grass pitch	Indoor			Indoor	Grabb			58.700	1310.000	21.900	1400.000	3930.000	252.000	<1	4320.000	2130.000	<1	275.000	<1	7410.000	105.000	<1	<1	<10	<1	<1	<1	171.000	4460.000	9100.000	55350.000						1540.000	<10	<1	<1	< 5	< 2	37.709	< 2																			65.446	305.528	361.994	142.927	38.496	9887.003
NR-2022-06807	Sludge	ng/g	59.883	10.770			26.-29.9.22	Bekkelaget	Wastewater treatment plant		Summer	High	Summer	Grabb			2.857	<1	<1	<1	16.429	<1	<1	<1	<1	<1	<1	<1	37.500	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.286	37.857	<1	5.000	<1	<1	<1	<1	<10	<1	<1	5.052	< 0.2	< 0.2	< 2	0.100	0.500	<0.1	<0.0	0.200	1.400	10.300							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	8518.902	13804.377	21290.950	14046.195	11172.615	2477.794
NR-2022-06814	Sludge	ng/g	59.883	10.770			3.10-5.10.22	Bekkelaget	Wastewater treatment plant		Autumn	High	Autumn	Grabb			<1	<1	<1	<1	17.143	<1	<1	<1	<1	<1	<1	<1	63.333	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.048	37.143	<1	4.286	<1	<1	<1	<1	<10	<1	<1	12.857	< 0.2	< 0.2	< 2	0.100	0.100	<0.1	<0.0	0.400	0.500	7.800							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	27510.161	44359.000	64887.800	48948.300	37440.000	2072.624
NR-2022-06824	Sludge	ng/g	59.883	10.770			24.110	Bekkelaget	Wastewater treatment plant		Summer	Low	Summer	Grabb			<1	<1	<1	<1	<1	3.667	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.667	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	0.300	<0.1	<0.1	<0.0	<0.1	<0.2	1.900												124.560	244.155	355.092	548.123	2655.512	2273.310
NR-2022-06825	Sludge	ng/g	59.883	10.770			??	Bekkelaget	Wastewater treatment plant		Autumn	Low	Autumn	Grabb			<1	<1	<1	<1	<1	2.333	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.000	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	<0.1	<0.1	0.200	<0.2	<0.1	0.200	0.700												94.412	183.748	340.124	769.028	2111.042	2114.552
NR-2022-06876	Water, total	ng/L	59.883	10.770			27.09.2022	Bekkelaget	Wastewater treatment plant		Summer	High	Summer	column			<1	164.500	<1	<1	23.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	187.000	230.500	<1	281.000	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0.100	0.500	<0.3	<0.1	<0.2	0.200	0.700							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06877	Water, total	ng/L	59.883	10.770			28.09.2022	Bekkelaget	Wastewater treatment plant		Summer	High	Summer	column			<1	141.500	<1	<1	15.800	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	191.500	231.000	<1	307.500	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0.100	0.300	<0.2	<0.1	<0.1	0.100	0.700							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
