	Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF																												
	MilDir Group ID	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Pharmaceutical	Pharmaceutical	Pesticide	Pesticide	Pesticide	Surfactant - Degreaser Industrial/automotive/Dishwashers	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization																												
	Name1	BT22_1	BT22_2	BT22_3	BT22_4	BT22_5	BT22-6	SC_22-1	SC_22-2	SC_22-4	SC_22-6	SC_22-7	SC_22-8	SC_22-9	SC_22-10	SC_22-11	SC_22-12	SC_22-13	SC_22-14	SC_22-15	SC_22-16	SC_22-17	SC_22-27	SC_22-28	SC_22-29	SC_22-18	SC_22-19	SC_22-20	SC_22-21	SC_22-22	SC_22-23	SC_22-24	SC_22-25	SC_22-26																												
	CAS_no	136-95-8	941-57-1 	615-22-5	883-93-2	934-34-9	149-30-4	101-87-1	NO CAS#	74-31-7 	93-46-9	101-72-4 	3081-14-9	793-24-8	3081-01-4	101-96-2	81-39-0	93-05-0	92-09-1ÿÿ	68015-60-1ÿÿ	10081-67-1	15721-78-5	3089-11-0 	102-06-7	26780-96-1	549-18-8	83799-24-0	173584-44-6 	120068-37-3	91465-08-6	2687-94-7 	901-44-0 	1025-15-6Test	101-37-1Test																												
Provenr	Parameter_id	2-Aminobenzothiazole ABT	Benzothiazole-2-sulfonic acid BTSA	2-(Methylthio)benzothiazole MTBT	2-Phenylbenzothiazole PhBT	2-hydroxybenzothiazole OHBT	2-Mercaptobenzothiazole MBT	N-Cyclohexyl-N'-phenyl-4-phenylenediamine (CPPD)	6ppd- quionone	N,N'-Diphenyl-p-phenylenediamine (DPPD)	N,N'-Di-2-naphthyl-p-phenylenediamine (DNPD)	N-Isopropyl-N'-phenyl-p-phenylenediamine (IPPD)	N,N'-Bis(1,4-dimethylpentyl)-4-phenylenediamine (77PD)	ÿN-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine (6PPD)	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine (7PPD)	N,N'-Bis(1-methylpropyl)-1,4-benzenediamine (44PD)	3-Methyl-6-(p-toluidino)-3H-dibenz(f,ij)isoquinoline-2,7-dione	N,N-Diethyl-p-phenylenediamine	N-{2-[(4-amino-3-methylphenyl)(ethyl)amino]ethyl}methanesulfonamide	4,4'-Bis(2-amino-benzenesulfonyl)bisphenol Ester	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	N,N-Bis(4-tert-octylphenyl)amine	2,4,6- Tris[bis(methoxymethyl)amino]- 1,3,5-triazine	1,3-Diphenylguanidine	Poly(1,2-dihydro-2,2,4-trimethylquinoline)	Amitryptyline	Fexofenadine  	Indoxacarb	Fipronil	?-Cyhalothrin	Octyl-2-pyrrolidoneÿ ÿ	Bisphenol A Bis(2-hydroxyethyl) Ether	Triallyl isocyanurate (1,3,5-Triallyl-1,3,5-triazinane-2,4,6-trione)	2,4,6-Tris(allyloxy)-1,3,5-triazine																												
NR-2022-06902		<1	37.5	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	23.5	<1	60.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06903		<1	52.5	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	20.5	<1	49.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06904		<1	43.3	<1	<1	13.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	16.5	<1	58.5	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06938																																																														
NR-2022-06939																																																														
NR-2022-06940																																																														
NR-2022-06941																																																														
NR-2022-06992																																																														
NR-2022-06795		<1	1.8	<1	<1	<1	<1	<1	2.7	0.0	<1	<1	<1	40.0	<1	<1	<1	<10	<1	<1	<1	<1	<1	41.5	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06805		<1	<1	<1	<1	<1	<1	<1	2.0	0.0	<1	<1	<1	13.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	19.7	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06794		<1	6.2	<1	1.8	5.0	3.5	<1	12.6	31.8	<1	<1	<1	365	<1	<1	<1	<10	<1	<1	<1	<1	<1	173	111	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06804		<1	5.4	<1	1.9	4.9	1.6	<1	12.4	26.8	<1	<1	<1	324	<1	<1	<1	<10	<1	<1	<1	<1	<1	168	55.7	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06801		<1	2.3	<1	<1	<1	<1	<1	3.1	0.0	<1	<1	<1	56.0	<1	<1	<1	<10	<1	<1	<1	<1	<1	84.3	6.3	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06806		<1	13.0	<1	1.5	3.3	7.9	<1	17.6	0.0	<1	<1	<1	294	<1	<1	<1	<10	<1	<1	<1	<1	<1	403	54.8	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06820		<1	<1	<1	<1	<1	<1	<1	<1	0.0	<1	<1	<1	3.8	<1	<1	<1	<10	<1	<1	<1	<1	<1	13.4	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06815		<1	<1	<1	<1	<1	<1	<1	<1	0.0	<1	<1	<1	3.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	21.3	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												
NR-2022-06905		<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	8.1	<1	<1	<1	<10	<1	<1	<1	<1	25.5	21.3	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06872		<1	121	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	52.9	<1	<1	<1	<10	<1	<1	<1	<1	58.1	186	<1	<1	<1	<1	<0.1	<10	5.5	<10	<1	<1																												
NR-2022-06906		<1	29.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	7.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06873		<1	213	<1	<1	17.9	<1	<1	<1	<1	<1	<1	<1	20.5	<1	<1	<1	<10	<1	<1	<1	<1	90.5	268	<1	<1	<1	<1	<0.1	<10	11	<10	<1	<1																												
NR-2022-06907		<1	44.5	<1	<1	8.1	<1	<1	<1	<1	<1	<1	<1	14.5	<1	<1	<1	<10	<1	<1	<1	<1	40.9	42.8	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06874		<1	130	<1	<1	9.2	<1	<1	<1	<1	<1	<1	<1	22.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	141	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06908		<1	52.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.5	28.1	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06875		<1	74.6	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	31.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2023-02387																																																														
NR-2023-02388																																																														
NR-2023-02389																																																														
NR-2023-02390																																																														
NR-2022-06870		21.1	16350	70.5	15.5	2535	21.5	<1	476	119	<1	129	<1	2675	<1	<1	<1	<10	<1	<1	<1	<1	5060	3655	1840																																					
NR-2022-06871		31.5	23800	66.5	13.5	3905	17.5	<1	363	65.5	<1	123	<1	2115	<1	<1	<1	<10	<1	<1	<1	<1	5275	3955	1255																																					
NR-2022-06882		29.5	31650	82.8	6.5	4490	16.9	<1	229	48.9	<1	48.8	<1	980	<1	<1	<1	<10	<1	<1	<1	<1	4845	6275	322.5																																					
NR-2022-06920		<1	<1	<1	5.5	29.5	8.3	<1	107	82.8	<1	12.3	<1	1825	<1	<1	<1	<10	<1	<1	<1	<1	439	341	920																																					
NR-2022-06921		<1	<1	<1	6.5	55.9	10.5	<1	191	126	<1	20.5	<1	2515	<1	<1	<1	<10	<1	<1	<1	<1	560	530	1375																																					
NR-2022-00807		<1	79.5	10.5	14	84.5	9.5	<1	580	264	<1	59.6	<1	4600	<1	<1	<1	<10	<1	<1	<1	<1	575	960	2735																																					
NR-2022-06798		21.3	276	10.6	299	1181	60.3	<1	2003	1635	<1	1777	<1	5306	<1	<1	<1	<10	<1	<1	<1	37.1	1277	5652	13226						497	<10	<1	<1																												
NR-2022-06799		1.6	45.6	1.9	29.4	46.6	60.3	<1	282	290	<1	29.1	<1	2431	<1	<1	<1	<10	<1	<1	<1	20.0	185	378	3238						5.6	<10	<1	<1																												
NR-2022-06800		21.5	427	29.2	558	1031	171	<1	2215	2527	<1	1031	<1	7812	<1	<1	<1	<10	<1	<1	<1	49.6	2215	5496	22308						612	<10	<1	<1																												
NR-2022-06884		<50	6660	220	<50	3520	260	<50	990	480	<50	<50	<50	14760	<50	<50	<50	<50	<50	<50	<50	<50	15640	21400	4540																																					
NR-2022-06923		<50	<50	<50	<50	<50	<50	<50	490	<50	<50	<50	<50	2560	<50	<50	<50	<50	<50	<50	<50	<50	<50	2640	1060																																					
NR-2022-06885		<50	5500	240	<50	4820	<50	<50	1360	920	<50	<50	<50	9540	<50	<50	<50	<50	<50	<50	<50	<50	11280	15120	3100																																					
NR-2022-06924		<50	<50	<50	<50	<50	<50	<50	530	<50	<50	<50	<50	3080	<50	<50	<50	<50	<50	<50	<50	<50	<50	2880	1100																																					
NR-2022-06886		<50	64080	1760	<50	8640	<50	<50	470	1760	<50	<50	<50	95200	<50	<50	<50	<50	<50	<50	<50	<50	36080	62900	24160																																					
NR-2022-06925		<50	960	<50	<50	<50	960	<50	2320	2320	<50	<50	<50	37120	<50	<50	<50	<50	<50	<50	<50	<50	<50	20240	18080																																					
NR-2022-06887		<50	27040	1520	<50	6160	<50	<50	2720	1120	<50	<50	<50	62480	<50	<50	<50	<50	<50	<50	<50	<50	32450	36800	16080																																					
NR-2022-06926		<50	<50	<50	<50	<50	<50	<50	390	<50	<50	<50	<50	4400	<50	<50	<50	<50	<50	<50	<50	<50	<50	6880	2180																																					
NR-2022-06888		<50	36480	1840	<50	7360	<50	<50	1680	960	<50	<50	<50	65760	<50	<50	<50	<50	<50	<50	<50	<50	28320	46250	8720																																					
NR-2022-06927		<50	1040	<50	<50	<50	<50	<50	2080	1920	<50	<50	<50	26640	<50	<50	<50	<50	<50	<50	<50	<50	<50	17040	13440																																					
NR-2022-06889		<50	34960	2000	<50	6320	<50	<50	2880	<50	<50	<50	<50	59520	<50	<50	<50	<50	<50	<50	<50	<50	26480	41530	6960																																					
NR-2022-06889		<50	<50	<50	<50	<50	<50	<50	1200	880	<50	<50	<50	13120	<50	<50	<50	<50	<50	<50	<50	<50	<50	9200	7360																																					
NR-2022-06912		<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	8550	<50																																					
NR-2022-06913		<50	<50	<50	<50	<50	<50	<50	650	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	12100	<50																																					
NR-2022-06914		<50	84000	<50	<50	34320	1440	<50	3360	<50	<50	<50	<50	21680	<50	<50	<50	<50	<50	<50	<50	<50	71600	63980	16480																																					
NR-2022-06930		<50	<50	<50	<50	<50	<50	<50	104	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	255	<50																																					
NR-2022-06915		<50	86400	<50	<50	34480	1760	<50	3150	<50	<50	<50	<50	17440	<50	<50	<50	<50	<50	<50	<50	<50	75200	66950	14880																																					
NR-2022-06931		<50	<50	<50	<50	<50	<50	<50	96	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	310	<50																																					
NR-2022-06916		<50	89600	<50	<50	28400	1760	<50	480	<50	<50	<50	<50	12240	<50	<50	<50	<50	<50	<50	<50	<50	51000	37160	13840																																					
NR-2022-06932		<50	960	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	890	<50																																					
NR-2022-06917		<50	85600	<50	<50	35040	1360	<50	3980	<50	<50	<50	<50	19280	<50	<50	<50	<50	<50	<50	<50	<50	78000	122400	18320																																					
NR-2022-06933		<50	<50	<50	<50	<50	<50	<50	260	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	460	<50																																					
NR-2022-06918		<50	49760	960	<50	30560	880	<50	4120	<50	<50	<50	<50	19840	<50	<50	<50	<50	<50	<50	<50	<50	69600	98560	20080																																					
NR-2022-00523		<50	<50	<50	<50	<50	<50	<50	390	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	155	<50																																					
NR-2022-06919		<50	92800	1200	<50	35840	1280	<50	4380	<50	<50	<50	<50	16880	<50	<50	<50	<50	<50	<50	<50	<50	72000	65120	20480																																					
NR-2022-00524		<50	<50	<50	<50	<50	<50	<50	255	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	330	<50																																					
NR-2022-06808		<1	<1	<1	<1	<1	<1	<1	36.2	33.8	<1	33.5	<1	635	<1	<1	<1	<10	<1	<1	<1	<1	<1	1576	321						12.6	<10	<1	<1																												
NR-2022-06809		<1	42.1	<1	9.5	26.7	11.8	<1	40.0	31.0	<1	25.4	<1	577	<1	<1	<1	<10	<1	<1	<1	<1	<1	1362	369						10.5	<10	<1	<1																												
NR-2022-06810		<1	29.5	<1	6.5	46.5	8.5	<1	48.5	61.0	<1	36.5	<1	955	<1	<1	<1	<10	<1	<1	<1	<1	<1	1770	595						13.5	<10	<1	<1																												
NR-2022-06811		<1	28.3	<1	9.7	58.0	23.1	<1	46.3	62.6	<1	52.0	<1	1134	<1	<1	<1	<10	<1	<1	<1	<1	<1	1543	2449						17.7	<10	<1	<1																												
NR-2022-06826		1.9	158	<1	37.8	584	3.4	<1	55.0	239	<1	53.4	<1	1997	<1	<1	<1	<10	<1	<1	<1	16.9	<1	3503	3053						34.1	<10	<1	<1																												
NR-2022-06827		2.1	179	<1	43.3	633	6.4	<1	73.6	255	<1	61.2	<1	1903	<1	<1	<1	<10	<1	<1	<1	13.9	<1	3691	2273						38.5	<10	<1	<1																												
NR-2022-06812		<1	16.0	1.5	2.8	1.8	<1	<1	19.5	17.8	<1	4.8	<1	308	<1	<1	<1	<10	<1	<1	<1	9.5	32.3	585	176						6.0	<10	<1	<1																												
NR-2022-06813		<1	14.2	<1	1.9	2.2	<1	<1	15.8	9.7	<1	3.6	<1	212	<1	<1	<1	<10	<1	<1	<1	5.8	29.7	497	81.4						6.4	<10	<1	<1																												
NR-2022-06797		<1	<1	<1	<1	2.7	<1	<1	<1	<1	<1	<1	<1	93.7	<1	<1	<1	<10	<1	<1	<1	<1	<1	95.0	7.7						<1	<10	<1	<1																												
NR-2022-06796		<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	49.3	<1	<1	<1	<10	<1	<1	<1	<1	<1	66.6	4.5						<1	<10	<1	<1																												
