						Bisphenol	Pergfast	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	Antioxidant	Antioxidant	Antioxidant	PCB	PCB	PCB	PCB	PCB	PCB	PCB	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	CP	CP	CP	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	NIVA_1	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_TBT	NIVA_GPC	NIVA_1	NIVA_1	NIVA_2	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	UV	UV	UV	UV	UV	UV	UV	UV	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	TOF	
Wastewater treated			Sludge_Low purification	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		1100	13.4	2080	<2.5	<2.5	11.8	<25	<2	<2	<10	<2.5	<2.5	254	detektert																																																																																																																																	<5	2.6	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	70.3	<10	<10	<10	1.9	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Soft biological parts	Blue mussel			ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		8.46	<1	43.6	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			126	< 10	<3	< 5	< 5	< 10	< 5	< 5	5.5	< 5	< 2	< 1	< 50	< 50	< 10	< 5	< 2	< 2	387	109	< 2	< 0.02	< 0.02	<3	< 15	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								1.44
Soft biological parts	Blue mussel			ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		7.87	<1	41.1	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			11	< 10	<3	< 5	< 5	< 10	< 5	< 5	< 5	< 5	< 2	< 1	< 50	< 50	< 10	< 5	< 2	< 2	199	17	< 2	< 0.02	< 0.02	<3	< 15	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								1.03
Soft biological parts	Blue mussel			ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		6.90	<1	44.8	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			31	< 10	<3	< 5	< 5	< 10	< 5	< 5	< 5	< 5	< 2	< 1	< 50	< 50	< 10	< 5	< 2	< 2	288	20	< 2	< 0.02	< 0.02	<3	< 15	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								1.11
Sediment_saltwater				ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		10.9	<1	40.3	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			19	< 10	<3	< 5	< 5	< 10	< 5	< 5	2.5	< 2	< 2	< 1	< 5	< 10	< 10	< 5	< 10	< 2	< 2	< 200	< 2	0.036	0.055	<3	< 2	< 2	< 2	n.a.																																																																																																				12.9	3.1	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	2.7	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	42.1	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Sediment_saltwater				ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		6.3	<1	63.3	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			8	< 10	<3	< 5	< 5	< 10	< 5	< 5	4	< 2	< 2	< 1	< 5	< 10	< 10	< 5	< 10	< 2	< 2	< 200	< 2	0.042	0.053	<3	< 2	< 2	< 2	n.a.																																																																																																				10.5	4.8	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	3.1	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	33.9	<10	<10	<10	2.9	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Sediment_saltwater				ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		5.4	<1	76.4	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			38	< 10	<3	< 5	< 5	< 10	< 5	< 5	7.3	< 2	< 2	< 1	< 5	< 10	< 10	< 5	< 10	< 2	< 2	326	< 2	0.02	0.025	<3	< 2	< 2	< 2	n.a.																																																																																																				16.2	6.2	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	3.6	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	36.6	<10	<10	<10	3.4	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Dust			Private home	ng/g		<20	<45	<23	<25	<65	<33		13389	<1	h?yt nv†	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	61.8			124479	< 50	26.8	< 25	< 25	< 50	< 25	< 25	22.8	< 10	< 10	2895	< 250	< 250	180	< 25	< 10	< 10	500	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	114.8	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	50.4	<20	10.7	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	167	<1	<10	<10	24000	49.8	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Dust			Private home	ng/g		<20	<45	<23	<25	<65	<33		n.a	<1	h?yt nv†	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			121031	< 50	15.5	< 25	< 25	< 50	< 25	< 25	17.3	< 10	< 10	748	< 250	< 250	89	< 25	< 10	< 10	280	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	121.7	<200	<10	<20	<50	<10	<20	<10	15.1	<10	<10	<10	<10	<200	<2	<2	<10	<20	24.7	12.3	<20	<2	<2	<2	<2	<2	<2	<200	435	<10	<10	130	<1	<10	<10	195	46.5	<10	<10	5.1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	49.3																																																																								
Dust			Private home	ng/g		<20	<45	<23	<25	<65	<33		n.a	<1	h?yt nv†	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1	detektert		63430	< 50	< 15	< 25	< 25	< 50	< 25	< 25	8.8	18.6	< 10	1333	< 250	< 250	154	< 25	< 10	< 10	408	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	96	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	381	4.3	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	116	<1	<10	<10	21000	25.3	<10	<10	6.9	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	18.8																																																																								
Dust			Private home	ng/g		<20	<45	<23	<25	<65	<33		1734	<1	h?yt nv†	<2.5	<2.5	33.1	<25	<2	<2	<10	<2.5	<2.5	<1			111461	< 50	17.4	< 25	< 25	< 50	< 25	< 25	14	< 10	< 10	1034	< 250	< 250	36	< 25	< 10	< 10	1314	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	38.2	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	78.7	<200	<2	<2	16.4	240	15.1	16.4	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	2220	<1	<10	<10	5480	25.2	<10	<10	42.3	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	27.9																																																																								
Dust			Private home	ng/g		<20	<45	<23	<25	<65	<33		84	<1	h?yt nv†	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	159	detektert		52594	< 50	< 15	< 25	< 25	< 50	< 25	< 25	9.3	11.5	< 10	525	< 250	< 250	191	< 25	< 10	< 10	218	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				112.9	49.1	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	57.5	<200	<2	<2	22.8	69.7	14.3	24.7	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	609	<1	<10	<10	5120	22.3	<10	<10	17.2	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	56.9																																																																								
Dust			Commercial building	ng/g		<20	<45	<23	<25	<65	<33	detektert	4920	23	h?yt nv†	<2.5	<2.5	2067	<25	<2	<2	<10	<2.5	<2.5	201	detektert		146851	< 50	266.2	< 25	< 25	< 50	< 25	< 25	448.3	204.9	< 10	802	< 250	< 250	425	< 25	< 10	< 10	798	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	95.1	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	15.8	<200	<2	<2	12.6	<20	16	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	254	<1	<10	<10	2810	135	<10	<10	4.3	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	14.2																																																																								
Dust			Commercial building	ng/g		<20	<45	<23	<25	<65	<33		1899	<1	h?yt nv†	<2.5	<2.5	966	<25	<2	<2	<10	<2.5	<2.5	<1			149447	< 50	162.7	< 25	< 25	< 50	< 25	< 25	30.9	21.6	< 10	728	< 250	< 250	422	< 25	< 10	< 10	833	< 200	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	59.9	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	3.8	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	206	<1	<10	<10	1010	71.6	<10	<10	3.2	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	14.8																																																																								
Soil 			Agricultural	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		<1.25	<1	6.1	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			< 10	< 10	<3	< 5	< 5	< 10	< 5	< 5	0.25	< 2	< 2	< 1	< 1	< 10	< 10	< 5	< 2	< 2	< 2	< 15	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	1180	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Soil 			Agricultural	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		<1.25	<1	9.9	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			< 10	< 10	<3	< 5	< 5	< 10	< 5	< 5	0.18	< 2	< 2	< 1	< 1	< 10	< 10	< 5	< 2	< 2	< 2	< 15	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Soil 			Agricultural	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3	detektert	<1.25	<1	8.5	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	<1			< 10	< 10	<3	< 5	< 5	< 10	< 5	< 5	0.21	< 2	< 2	< 1	< 1	< 10	< 10	< 5	< 2	< 2	< 2	< 15	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Soil 			Agricultural	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		15.1	<1	127	<2.5	<2.5	<2.5	<25	<2	<2	<10	<2.5	<2.5	8.1			< 10	< 10	<3	< 5	< 5	< 10	< 5	< 5	3.4	< 2	< 2	< 1	< 1	< 10	35	< 5	< 2	< 2	< 2	< 15	< 2	< 0.02	< 0.02	<3	< 2	< 2	< 2	n.a.																																																																																																				<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Textiles and shoes			Fabric clothes	ng/g		<20	<45	<23	<25	<65	<33		<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10	detektert	detektert	< 50	< 5	< 10	< 1	< 10	< 25	< 5	< 10	< 1	< 10	< 1	17	< 5	< 100	< 3000000	< 1	< 10	< 10	< 3	< 2500	< 3	< 0.5	< 0.5	< 3	< 3	< 0.5	< 3																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Unspecified			Boat care products	ng/g		<20	<45	<23	<25	<65	<33		<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10	detektert		18	< 5	< 10	< 1	< 10	< 25	< 5	< 10	< 1	< 1	< 1	< 1	< 5	< 100	< 500000	< 1	< 1	< 1	< 0.5	< 300	< 0.5	< 0.1	< 0.1	< 0.5	< 0.5	< 0.1	< 0.5																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
EE products				ng/g		<20	<45	<23	<25	<65	<33	detektert	<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10			280722	< 5	< 5	< 1	< 10	< 25	< 5	< 10	< 1	< 3	< 1	< 10	< 5	< 100	< 3000000	< 1	< 3	< 3	< 1	76481	< 1	< 0.3	< 0.3	< 1	< 1	< 0.3	< 1																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	3.9	<2	<20	<2	<2	<2	<2	<2	<2	<200	285	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Paint and varnish				ng/g		<20	<45	<23	<25	<65	<33		<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10	detektert	detektert	41	< 5	< 2	< 1	< 10	< 25	< 5	< 10	< 1	< 1	< 1	4	< 5	< 100	< 500000	< 1	< 1	< 1	< 0.5	< 300	< 0.5	< 0.1	< 0.1	< 0.5	< 0.5	< 0.1	< 0.5																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	4.2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Unspecified			Detergents for textiles	ng/g		<20	<45	<23	<25	<65	<33	detektert	<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10			< 10	< 5	18	< 1	< 10	< 25	< 5	< 10	< 1	< 1	< 1	< 1	< 5	< 100	< 500000	< 1	< 1	< 1	< 0.5	< 300	< 0.5	< 0.1	< 0.1	< 0.5	< 0.5	< 0.1	< 0.5																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Textiles and shoes			Fabric furniture	ng/g		<20	<45	<23	<25	<65	<33		<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10	detektert	detektert	3532	< 5	< 1	< 1	< 10	< 25	< 5	< 10	< 1	< 3	< 1	11	< 5	< 100	< 3000000	< 1	< 5	< 5	< 3	< 1500	< 3	< 0.3	< 0.3	< 2	< 2	< 0.3	< 2																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Toys				ng/g		<20	<45	<23	<25	<65	<33		<12.5	<10	<10	<25	<25	<25	<250	<20	<20	<100	<25	<25	<10		detektert	38866	< 5	< 2	< 1	< 10	< 25	< 5	< 10	< 1	< 3	< 1	< 3	< 5	< 100	< 3000000	< 1	< 2	< 2	< 1	< 1000	< 1	< 0.3	< 0.3	< 1	< 1	< 0.3	< 1																																																																																																					<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
Blubber	sperm whale			ng/g				<3																				< 1000	< 25	< 50	< 25	< 10	< 250	< 10	< 25	< 3	< 200	< 5	< 10	< 20	< 250	< 100	< 0.25	< 1	< 5	< 25	< 50	< 2	< 0.1	< 0.2	< 250	< 0.5	< 2	< 1		<25	<3	<9																																																																																																	<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200			<10		<2	<2					<2	<2	<2	<200	<10	<10	<10		<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								73.73
Blubber	sperm whale			ng/g				<3																				< 1000	< 10	< 50	< 25	< 5	< 2000	< 10	< 25	< 3	< 100	< 5	< 10	< 20	< 250	< 100	< 0.25	< 300	< 5	< 25	< 25	< 2	< 0.1	0.13	< 250	< 1	< 2	< 2		<25	<3	<9																																																																																																	<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200			<10		<2	<2					<2	<2	<2	<200	<10	<10	<10		<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								50.09
Blubber	sperm whale			ng/g				<3																				< 2000	< 25	< 50	< 25	< 5	< 1000	< 10	< 25	< 3	< 50	< 5	< 10	< 20	< 250	< 100	< 0.25	< 300	< 5	< 25	< 100	< 2	0.09	0.15	< 250	< 0.5	< 2	< 0.5		<25	<3	<9																																																																																																	<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200			<10		<2	<2					<2	<2	<2	<200	<10	<10	<10		<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								96.8
Blubber	Fin whale			ng/g	mg/kg			<3																				< 1000	< 5	< 50	< 25	< 5	< 10	< 50	< 25	< 3	< 25	< 5	< 20	< 10	< 250	< 200	< 3	< 0.5	< 5	< 5	879	< 2	< 0.1	< 0.2	< 250	< 0.5	< 2	< 0.5		77.6	<3	<9	0.70	131.00	108.00	161.00	318.00	368.00	184.00	0.05	0.064	33.2	0.160	53.7	<0.035	<0.025	<0.060	15.3	2.96	<0.050	0.160	<0.060	1.720	4.12	<0.097	0.3	0.05	<0.10	<0.068	0.15	<0.076	<0.14	<0.12	<1.67	<17.5	66.9	16.7	<0.055	<0.72	1.21	<0.22	<0.092	<0.11	<0.098	<0.13	<0.16	<0.077	<0.11	<0.18	<0.87	<3.68	0.13	161	n.a.	<0.41	<0.065	0.6	<0.046	<0.74	0.3	0.3	91.80	2690	15.6	245.00	977	534	525	2.73	6.67	<11	1.11	68.8	14.7	< 7.8	< 0.5	< 0.5	< 31	< 1.0	< 2.1	< 3.1	< 5.7	< 1.8	< 0.5	< 0.5	< 1.0	< 0.5	< 1.0	< 8.2	< 1.0	<100	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200			<10		<2	<2					<2	<2	<2	<200	<10	<10	<10		<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<10	<10	<1	<1	<0.6	<0.4	0.6	<25	<0.5	<0.5	<0.5	<0.5	<0.5	<0.4	<0.4	<0.4	<0.4	<0.4	<0.4	<0.4	<0.4	<0.2	<0.1	<0.1	<0.1	0.53	<0.05	<0.1	<0.1	<0.1	<0.1	<0.1	<0.1	<0.3	3.57	<0.3	<0.1	<0.3	<0.3	<1.0	<1.0	<0.3	<0.3	<0.3	<0.3	<0.3	<0.3	<0.3	<0.3	<0.3	<230	52.85
Blubber	Fin whale			ng/g				<3																				< 10000	< 25	< 50	< 25	< 5	< 50	< 50	< 25	< 3	< 100	< 5	< 20	< 5	< 250	< 100	< 1	< 5	< 5	< 25	< 50	< 3	< 0.1	< 0.3	< 500	< 0.5	< 2	< 2		<25	<3	<9																																																																																																	<5	<1.0	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200			<10		<2	<2					<2	<2	<2	<200	<10	<10	<10		<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								59.84
