						Bisphenol	Pergfast	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	Antioxidant	Antioxidant	Antioxidant	PCB	PCB	PCB	PCB	PCB	PCB	PCB	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	CP	CP	CP	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	NIVA_1	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_TBT	NIVA_GPC	NIVA_1	NIVA_1	NIVA_2	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	UV	UV	UV	UV	UV	UV	UV	UV	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	TOF	
Wastewater treated			Sludge_High purification	ng/g		<2	61.8	<2.3	<2.5	<6.5	<3.3	detektert	6413	50.1	3145	<2.5	<2.5	843	<25	<2	<2	<10	<2.5	<2.5	1339																																																																																																																																		8.5	5.3	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	6.2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	2470	<10	<10	<10	1.5	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			Low purification	ng/L		<4	<9	49.4	<5	<13	<6.5		426	3.7	h?yt nv†	<5	<5	68.1	<50	<4	<4	<20	<5	<5	176			24	< 5	< 5	< 1	< 5	< 100	< 1	< 1	14.9	21	< 1	32	< 5	< 50	2367	< 1	< 1	79	15	15060	< 1	< 1	< 1	< 1	< 1	< 1	< 1	n.a.																																																																																																				<5	258.2	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	90.9	401	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	181	<1	<10	<10	79.1	<10	<10	<10	11.1	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			Low purification	ng/L		<4	101	53.0	<5	<13	<6.5		1563	<2	h?yt nv†	<5	<5	40.1	<50	<4	<4	<20	<5	<5	408			48	< 5	< 5	< 1	< 5	142	< 1	< 1	10.8	7	< 1	53	< 5	< 50	3423	< 1	< 1	9	1.7	20988	< 1	< 1	< 1	< 1	< 1	< 1	6.7	n.a.																																																																																																				<5	49.4	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	30.4	68.2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	85.6	<1	<10	<10	116	<10	<10	<10	1.7	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			Low purification	ng/L		<4	136	85.0	<5	<13	<6.5		152	6.4	h?yt nv†	<5	<5	119	<50	<4	<4	<20	<5	<5	60.8			1366	< 5	< 5	< 1	< 5	232	< 1	< 1	11.8	15	< 1	60	< 5	< 50	2036	< 1	< 1	40	190.7	108533	< 1	< 1	< 1	< 1	< 1	< 1	< 1	n.a.																																																																																																				<5	45.8	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	45	207	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	221	<1	<10	<10	<10	<10	<10	<10	1.4	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			Low purification	ng/L		<4	84.3	13.8	<5	<13	<6.5		141	6.1	h?yt nv†	<5	<5	101	<50	<4	<4	<20	<5	<5	58.8			4190	< 5	< 5	< 1	< 5	< 100	< 1	< 1	9.6	12	< 1	64	< 5	72	2225	< 1	< 1	43	98.4	80892	< 1	< 1	< 1	< 1	< 1	< 1	1.5	n.a.																																																																																																				<5	42.6	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	58.8	144	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	205	<1	<10	<10	12.6	<10	<10	<10	1.8	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated		Yes	Low purification	ng/g		<16	<36	<18	<20	<52	<26		1852	<14.3	<50	<20	<20	51.9	<200	<16	<16	<80	<20	<20	1022			35349	< 30	< 15	< 5	< 20	< 100	< 25	< 5	45	< 200	< 5	189	< 20	< 20	< 500000	< 5	< 25	< 200	< 1500	798253	< 0.5	< 0.05	< 0.05	< 25	< 3	0.36	< 3	n.a.																																																																																																				<10	218.9	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	21.9	38.3	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	18800	<20	<20	<20	91.8	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	Low purification	ng/g		<16	<36	<18	<20	<52	<26		3853	34.4	<50	<20	<20	<20	<200	<16	<16	<80	<20	<20	3877			8276	< 30	< 15	< 5	< 20	< 100	< 25	< 5	5	< 200	< 5	54	< 20	< 20	< 500000	< 5	< 25	< 200	< 1500	117710	< 0.5	< 0.05	< 0.05	< 25	< 3	0.2	< 3	n.a.																																																																																																				<10	76.6	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	39.5	66.5	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	13300	<20	<20	<20	27.9	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	Low purification	ng/g		<16	<36	<18	<20	<52	<26		837	23.4	<50	<20	<20	27.0	<200	<16	<16	<80	<20	<20	<425			15453	< 30	< 15	< 5	< 20	< 100	< 25	< 5	19	< 200	< 5	133	< 20	< 20	< 500000	< 5	< 25	< 200	< 1500	171333	< 0.5	< 0.05	< 0.05	< 25	< 3	0.23	< 3	n.a.																																																																																																				<10	57.5	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	12.7	41.6	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	12300	<20	<20	<20	35.4	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	Low purification	ng/g		<16	<36	<18	<20	<52	<26		555	<18.7	<50	<20	<20	<20	<200	<16	<16	<80	<20	<20	<339	detektert	detektert	9900	< 30	< 15	< 5	< 20	< 100	< 25	< 5	11	< 200	< 5	79	< 20	< 20	< 500000	< 5	< 25	< 200	< 1500	96678	< 0.5	< 0.05	< 0.05	< 25	< 3	0.04	< 3	n.a.																																																																																																				<10	35.3	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	8.5	14.1	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	4840	<20	<20	<20	37.9	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated			Sludge_Low purification	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		1459	14.9	1666	<2.5	<2.5	17.1	<25	<2	<2	<10	<2.5	<2.5	188	detektert																																																																																																																																	<5	2.8	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	<2	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	38.1	<10	<10	<10	1.7	<2	<10	<10	<10	<10	<20	<10	<20	<10	<10	<10																																																																								
