Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06802	Sludge (ng/g, d.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	IPPD	<1	Solids	2	3	33.33333333	0.5	35
NR-2022-06818	Granule (ng/g, w.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	IPPD	<1	Solids	3	6	50	0.5	764.4166667
NR-2022-06816	Sludge (ng/g, d.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	IPPD	<1	Solids	2	3	33.33333333	0.5	35
NR-2022-06819	Granule (ng/g, w.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	IPPD	<1	Solids	3	6	50	0.5	764.4166667
NR-2022-06817	Sludge (ng/g, d.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	IPPD	104	Solids	2	3	33.33333333	104	35
NR-2022-06821	Granule (ng/g, w.w.)	ng/g	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	1750	Solids	3	6	50	1750	764.4166667
NR-2022-06822	Granule (ng/g, w.w.)	ng/g	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	2560	Solids	3	6	50	2560	764.4166667
NR-2022-06823	Granule (ng/g, w.w.)	ng/g	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	IPPD	275	Solids	3	6	50	275	764.4166667
NR-2022-06807	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	IPPD	<1	Solids	4	4	0	NA	NA
NR-2022-06814	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	IPPD	<1	Solids	4	4	0	NA	NA
NR-2022-06824	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	IPPD	<1	Solids	4	4	0	NA	NA
NR-2022-06825	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	IPPD	<1	Solids	4	4	0	NA	NA
NR-2022-06876	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06877	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06878	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06899	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06900	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06901	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06879	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06880	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06881	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06902	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06903	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06904	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	IPPD	<1	Water	12	12	0	NA	NA
NR-2022-06795	Sediment (ng/g, d.w.)	ng/g	Brubak	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06805	Sediment (ng/g, d.w.)	ng/g	Brubak	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
