Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06909	Water, total (ng/L)	ng/L	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	<1	Water	1	3	66.66666667	0.5	20.36666667
NR-2022-06910	Water, total (ng/L)	ng/L	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	13.1	Water	1	3	66.66666667	13.1	20.36666667
NR-2022-06911	Water, total (ng/L)	ng/L	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	47.5	Water	1	3	66.66666667	47.5	20.36666667
NR-2022-06803	Granule (ng/g, w.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	21.9	Solids	0	6	100	21.9	34.26666667
NR-2022-06802	Sludge (ng/g, d.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	3.1	Solids	1	3	66.66666667	3.1	5.866666667
NR-2022-06818	Granule (ng/g, w.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	12.2	Solids	0	6	100	12.2	34.26666667
NR-2022-06816	Sludge (ng/g, d.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	<1	Solids	1	3	66.66666667	0.5	5.866666667
NR-2022-06819	Granule (ng/g, w.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	16.9	Solids	0	6	100	16.9	34.26666667
NR-2022-06817	Sludge (ng/g, d.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	14	Solids	1	3	66.66666667	14	5.866666667
NR-2022-06821	Granule (ng/g, w.w.)	ng/g	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	37.1	Solids	0	6	100	37.1	34.26666667
NR-2022-06822	Granule (ng/g, w.w.)	ng/g	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	58.8	Solids	0	6	100	58.8	34.26666667
NR-2022-06823	Granule (ng/g, w.w.)	ng/g	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	58.7	Solids	0	6	100	58.7	34.26666667
NR-2022-06807	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	2.857	Solids	3	4	25	NA	NA
NR-2022-06814	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06824	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06825	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06876	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06877	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06878	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06899	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06900	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06901	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06879	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06880	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06881	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06902	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06903	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06904	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06795	Sediment (ng/g, d.w.)	ng/g	Brubak	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06805	Sediment (ng/g, d.w.)	ng/g	Brubak	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06794	Sediment (ng/g, d.w.)	ng/g	Breivoll	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06804	Sediment (ng/g, d.w.)	ng/g	Breivoll	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06801	Sediment (ng/g, d.w.)	ng/g	Kv?rner	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06806	Sediment (ng/g, d.w.)	ng/g	Kv?rner	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06820	Sediment (ng/g, d.w.)	ng/g	Kalbakken	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06815	Sediment (ng/g, d.w.)	ng/g	Kalbakken	Urban river	NA	NA	NA	NA	ABT	<1	Solids	8	8	0	NA	NA
NR-2022-06905	Water, total (ng/L)	ng/L	Brubak	Urban river	NA	NA	Dry	Dry	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06872	Water, total (ng/L)	ng/L	Brubak	Urban river	NA	NA	Wet	?	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06906	Water, total (ng/L)	ng/L	Breivoll	Urban river	NA	NA	Dry	Dry	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06873	Water, total (ng/L)	ng/L	Breivoll	Urban river	NA	NA	Wet	?	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06907	Water, total (ng/L)	ng/L	Kv?rner	Urban river	NA	NA	Dry	Dry	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06874	Water, total (ng/L)	ng/L	Kv?rner	Urban river	NA	NA	Wet	?	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06908	Water, total (ng/L)	ng/L	Apall?kka	Urban river	NA	NA	Dry	Dry	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06875	Water, total (ng/L)	ng/L	Apall?kka	Urban river	NA	NA	Wet	?	ABT	<1	Water	8	8	0	NA	NA
NR-2022-06870	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	21.1	Water	0	3	100	21.1	27.36666667
NR-2022-06871	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	31.5	Water	0	3	100	31.5	27.36666667
NR-2022-06882	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	29.5	Water	0	3	100	29.5	27.36666667
NR-2022-06920	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	<1	Water	3	3	0	NA	NA
NR-2022-06921	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	<1	Water	3	3	0	NA	NA
NR-2022-00807	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	ABT	<1	Water	3	3	0	NA	NA
NR-2022-06798	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	ABT	21.29	Solids	0	3	100	21.29	14.797
NR-2022-06799	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	ABT	1.563	Solids	0	3	100	1.563	14.797
NR-2022-06800	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	ABT	21.538	Solids	0	3	100	21.538	14.797
NR-2022-06884	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06923	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06885	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06924	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06886	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06925	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06887	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06926	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06888	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06927	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06889	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06889	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06912	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06913	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06914	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06930	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06915	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06931	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06916	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06932	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06917	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-06933	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06918	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-00523	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06919	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	ABT	<50	Water	12	14	14.28571429	NA	NA
NR-2022-00524	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	ABT	<50	Water	16	16	0	NA	NA
NR-2022-06808	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06809	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06810	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06811	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06826	Sludge (ng/g, d.w.)	ng/g	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	ABT	1.875	Solids	6	8	25	NA	NA
NR-2022-06827	Sludge (ng/g, d.w.)	ng/g	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	ABT	2.121	Solids	6	8	25	NA	NA
NR-2022-06812	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06813	Sludge (ng/g, d.w.)	ng/g	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	ABT	<1	Solids	6	8	25	NA	NA
NR-2022-06797	Sediment (ng/g, d.w.)	ng/g	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	ABT	<1	Solids	2	2	0	NA	NA
NR-2022-06796	Sediment (ng/g, d.w.)	ng/g	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	ABT	<1	Solids	2	2	0	NA	NA
NR-2022-06866	Water, filtered (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	ABT	0.7	Water	12	14	14.28571429	NA	NA
NR-2022-06868	Water, particles (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_upper	NA	NA	?vre	ABT	<0.5	Water	16	16	0	NA	NA
NR-2022-06867	Water, filtered (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	ABT	0.6	Water	12	14	14.28571429	NA	NA
NR-2022-06869	Water, particles (ng/L)	ng/L	Smestaddammen	Tunnel environment	Recipient pond_lower	NA	NA	nedre	ABT	<0.5	Water	16	16	0	NA	NA
NR-2022-07074	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07075	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07076	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07077	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07078	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07079	Biota (ng/g, w.w.)	ng/g ww	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	ABT	<0.5	Biota	6	6	0	NA	NA
NR-2022-07019	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near shredder	NA	Hus n?r skredder	ABT	15.727	Air	2	3	33.33333333	15.727	8.575666667
NR-2022-07020	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Outside workshop	NA	Utenfor verksted	ABT	<10	Air	2	3	33.33333333	5	8.575666667
NR-2022-07021	Dust (ng/g, w.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near grab	NA	Ved grabbene	ABT	<10	Air	2	3	33.33333333	5	8.575666667
NR-2022-07004	Dust (ng/g, w.w.)	ng/g	Residental 1	Private home	Private home	NA	NA	Bolig1	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07006	Dust (ng/g, w.w.)	ng/g	Residental 3	Private home	Private home	NA	NA	Bolig3	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07007	Dust (ng/g, w.w.)	ng/g	Residental 4	Private home	Private home	NA	NA	Bolig4	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07008	Dust (ng/g, w.w.)	ng/g	Residental 5	Private home	Private home	NA	NA	Bolig5	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07009	Dust (ng/g, w.w.)	ng/g	Residental 6	Private home	Private home	NA	NA	Bolig6	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07010	Dust (ng/g, w.w.)	ng/g	Residental 7	Private home	Private home	NA	NA	Bolig7	ABT	<10	Air	6	6	0	NA	NA
NR-2022-07022	Dust (ng/g, w.w.)	ng/g	Dental clinic 1	Commercial building	Dental clinic	NA	NA	Tannklinikk1	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07023	Dust (ng/g, w.w.)	ng/g	Dental clinic 2	Commercial building	Dental clinic	NA	NA	Tannklinikk2	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07024	Dust (ng/g, w.w.)	ng/g	Dental clinic 3	Commercial building	Dental clinic	NA	NA	Tannklinikk3	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07013	Dust (ng/g, w.w.)	ng/g	3D-printing 1	Commercial building	Printing 3D	NA	NA	3D-print1	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07014	Dust (ng/g, w.w.)	ng/g	3D-printing 2	Commercial building	Printing 3D	NA	NA	3D-print2	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07015	Dust (ng/g, w.w.)	ng/g	3D-printing 3	Commercial building	Printing 3D	NA	NA	3D-print3	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07016	Dust (ng/g, w.w.)	ng/g	Furniture store 1	Commercial building	Furniture store	NA	NA	M?belvarehus1	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07017	Dust (ng/g, w.w.)	ng/g	Furniture store 2	Commercial building	Furniture store	NA	NA	M?belvarehus2	ABT	<10	Air	9	9	0	NA	NA
NR-2022-07018	Dust (ng/g, w.w.)	ng/g	Furniture store 3	Commercial building	Furniture store	NA	NA	M?belvarehus3	ABT	<10	Air	9	9	0	NA	NA
NR-2022-06978	Air (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Summer	Weekday	Sofienbergparken ukedag sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06967	Air, particles (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Summer	Weekday	Sofienbergparken ukedag sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06979	Air (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Summer	Weekend	Sofienbergparken helg sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06968	Air, particles (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Summer	Weekend	Sofienbergparken helg sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06980	Air (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Winter	Weekday	Sofienbergparken ukedag sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06976	Air, particles (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Winter	Weekday	Sofienbergparken ukedag vinter	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06981	Air (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Winter	Weekend	Sofienbergparken helg sommer	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06977	Air, particles (ng/m^3)	ng/m3	Sofienbergparken	Urban park	NA	Winter	Weekend	Sofienbergparken helg vinter	ABT	<10	Air	4	4	0	NA	NA
NR-2022-06973	Air, particles (ng/m^3)	ng/m3	Smestad	Trafficked road	NA	Summer	Weekday	Smestad ukedag sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06971	Air, particles (ng/m^3)	ng/m3	Alna E6	Trafficked road	NA	Summer	Weekday	E6 Alna ukedag sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06970	Air, particles (ng/m^3)	ng/m3	Hjortnes	Trafficked road	NA	Summer	Weekday	Hjortnes ukedag sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06974	Air, particles (ng/m^3)	ng/m3	Smestad	Trafficked road	NA	Summer	Weekend	Smestad helg sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06972	Air, particles (ng/m^3)	ng/m3	Alna E6	Trafficked road	NA	Summer	Weekend	E6 Alna helg sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06969	Air, particles (ng/m^3)	ng/m3	Hjortnes	Trafficked road	NA	Summer	Weekend	Hjortnes helg sommer	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06990	Air, particles (ng/m^3)	ng/m3	Smestad	Trafficked road	NA	Winter	Weekday	Smestad ukedag vinter	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06988	Air, particles (ng/m^3)	ng/m3	Alna E6	Trafficked road	NA	Winter	Weekday	E6 Alna ukedag vinter	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06987	Air, particles (ng/m^3)	ng/m3	Hjortnes	Trafficked road	NA	Winter	Weekday	Hjortnes ukedag vinter	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06991	Air, particles (ng/m^3)	ng/m3	Smestad	Trafficked road	NA	Winter	Weekend	Smestad helg vinter 	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06989	Air, particles (ng/m^3)	ng/m3	Alna E6	Trafficked road	NA	Winter	Weekend	E6 Alna helg vinter	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06986	Air, particles (ng/m^3)	ng/m3	Hjortnes	Trafficked road	NA	Winter	Weekend	Hjortnes helg vinter	ABT	<10	Air	12	12	0	NA	NA
NR-2022-06909	Water, total (ng/L)	ng/L	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	34.5	Water	0	3	100	34.5	515
NR-2022-06910	Water, total (ng/L)	ng/L	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	170.5	Water	0	3	100	170.5	515
NR-2022-06911	Water, total (ng/L)	ng/L	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	1340	Water	0	3	100	1340	515
NR-2022-06803	Granule (ng/g, w.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	162	Solids	0	6	100	162	513.8666667
NR-2022-06802	Sludge (ng/g, d.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	40.5	Solids	1	3	66.66666667	40.5	49.66666667
NR-2022-06818	Granule (ng/g, w.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	275	Solids	0	6	100	275	513.8666667
NR-2022-06816	Sludge (ng/g, d.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	<1	Solids	1	3	66.66666667	0.5	49.66666667
NR-2022-06819	Granule (ng/g, w.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	60.2	Solids	0	6	100	60.2	513.8666667
NR-2022-06817	Sludge (ng/g, d.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	BTSA	108	Solids	1	3	66.66666667	108	49.66666667
NR-2022-06821	Granule (ng/g, w.w.)	ng/g	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	BTSA	517	Solids	0	6	100	517	513.8666667
NR-2022-06822	Granule (ng/g, w.w.)	ng/g	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	BTSA	759	Solids	0	6	100	759	513.8666667
NR-2022-06823	Granule (ng/g, w.w.)	ng/g	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	BTSA	1310	Solids	0	6	100	1310	513.8666667
NR-2022-06807	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	BTSA	<1	Solids	4	4	0	NA	NA
NR-2022-06814	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	BTSA	<1	Solids	4	4	0	NA	NA
NR-2022-06824	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	BTSA	<1	Solids	4	4	0	NA	NA
NR-2022-06825	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	BTSA	<1	Solids	4	4	0	NA	NA
NR-2022-06876	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	BTSA	164.5	Water	0	12	100	164.5	101.65
NR-2022-06877	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	BTSA	141.5	Water	0	12	100	141.5	101.65
NR-2022-06878	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	BTSA	129.5	Water	0	12	100	129.5	101.65
