group	compound	CAS	Freshwater	Sediment	Biota_freshwater_fish	Biota_marine_fish	Comment	
NIVA_vM_Anion	ADNP	96-91-3	3.3	22.5	98.4	9.84	No PNEC data in ECHA	
NIVA_vM_Anion	GBLA	96-48-0	56	240	238	8.5	 	
NIVA_vM_Anion	BZDSA	117-61-3	186	2033993	2.3	46	 	
NIVA_2	UV329	3147-75-9					ECHA: no hazard identified	
NIVA_1	SG3	128-80-3	100	2210	0.2	2211	 	
NIVA_1	UV360	103597-45-1	1000	1.4	0.084	0.0084	PNEC freshwater STP	
NIVA_1	UV234	70321-86-7					ECHA: no hazard identified	
NIVA_1	DTBPPO	95906-11-9	0.01	70.1	27.9	2.79	Not found in ECHA	
NIVA_2	UV384	84268-23-5					Not fouund in ECHA or Norman	
QNH4	BAC_C12	139-07-1	0.42	6800	38	3.8	 	
QNH4	BAC_C14	139-08-2	0.342	5610	21.7	2.17	 	
QNH4	BAC_C16	122-18-9	0.03	0	0	0	No PNEC data in ECHA	
QNH4	ATAC_C12	1119-94-4	0.38	0	0	0	No PNEC data in ECHA	
QNH4	ATAC_C14	1119-97-7	0.026	46.3	971	3.73	ECHA: no exposure expected in sediment	
QNH4	ATAC_C16	57-09-0	0.022	30.3	295	2.25	ECHA: no data for sediment	
QNH4	ATAC_C18	1120-02-1	0.1	0	0	0	No PNEC data in ECHA	
UV	UV327	3864-99-1	0.0067	4	24.8	2.48	Not found in ECHA	
UV	OCTOC	6197-30-4	0.266	1302	12.6	12587	 	
PFCA	PFNA	375-95-1	1	142	165	16.5	Not found in ECHA	
PFCA	PFDA	335-76-2	0.17	3.51	8.15	0.82	Not found in ECHA	
PFCA	PFUNDA	2058-94-8	0.13	103	223	22.3	Not found in ECHA	
PFCA	PFDODA	307-55-1	0.11	485	1494	149	Not found in ECHA	
PFCA	PFTRDA	72629-94-8	0.1	940	41	4.1	Not found in ECHA	
PFSA	PFHXS	355-46-4	0.87	101	153	15.3	Not found in ECHA	
PFSA	PFOS	1763-23-1	0.00065	0.0067	0.1	9.1	Not found in ECHA	
nPFAS	PFBSA	30334-69-1	1.17	3.74	2.26	0.23	Not found in ECHA	
nPFAS	NMEFBSA	68298-12-4	1.14	4.3	44.7	4.47	No PNEC data in ECHA	
nPFAS	PFOSA	754-91-6	0.17	5.71	25.2	2.52	Not found in ECHA	
