Group	ID	Part2	Part1	Extra
PFCA	PFNA	2		Extra
PFCA	PFDA	2		Extra
PFCA	PFUNDA	2		Extra
PFCA	PFDODA	2		Extra
PFCA	PFTRDA	2		Extra
PFCA	PFTEDA	2		Extra
PFCA	PFHXDA	2		Extra
PFCA	PFOCDA	2		Extra
PFSA	PFBS	2		Extra
PFSA	PFPS	2		Extra
PFSA	PFHXS	2		Extra
PFSA	PFHPS	2		Extra
PFSA	PFOS	2		Extra
PFSA	BRPFOS	2		Extra
PFSA	PFNS	2		Extra
PFSA	PFDS	2		Extra
PFSA	PFUNS	2		Extra
PFSA	PFDOS	2		Extra
PFSA	PFTRS	2		Extra
PFSA	PFTS	2		Extra
QNH4	DADMAC_C8	2		Extra
QNH4	DADMAC_C10	2		Extra
QNH4	DADMAC_C12	2		Extra
QNH4	DADMAC_C14	2		Extra
QNH4	DADMAC_C16	2		Extra
QNH4	DADMAC_C18	2		Extra
QNH4	BAC_C8	2		Extra
QNH4	BAC_C10	2		Extra
QNH4	BAC_C12	2		Extra
QNH4	BAC_C14	2		Extra
QNH4	BAC_C16	2		Extra
QNH4	BAC_C18	2		Extra
QNH4	ATAC_C8	2		Extra
QNH4	ATAC_C10	2		Extra
QNH4	ATAC_C12	2		Extra
QNH4	ATAC_C14	2		Extra
QNH4	ATAC_C16	2		Extra
QNH4	ATAC_C18	2		Extra
QNH4	ATAC_C20 	2		Extra
QNH4	ATAC_C22	2		Extra
SVOC	B-2ETF	2	1	Scre23
SVOC	MPDCH	2	1	Scre23
SVOC	CUMIN	2	1	Scre23
SVOC	4NAS	2	1	Scre23
SVOC	DESHDC	2	1	Scre23
SVOC	CBZL	2	1	Scre23
SVOC	BDPME	2	1	Scre23
SVOC	TLDS	2	1	Scre23
SVOC	TMPID	2	1	Scre23
SVOC	DPMPE	2	1	Scre23
SVOC	FPIMPTH	2	1	Scre23
SVOC	BZBA	2	1	Scre23
SVOC	FEFAC	2	1	Scre23
SVOC	MABT	2	1	Scre23
SVOC	DMPSHEN	2	1	Scre23
SVOC	AETT	2	1	Scre23
SVOC	Sus62	2	1	Scre23
