		Analysemetode_id											Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
		MilDir Group ID											MilDir Group ID	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Pharmaceutical	Pharmaceutical	Pesticide	Pesticide	Pesticide	Surfactant - Degreaser Industrial/automotive/Dishwashers	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Antisopmiddel	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	UV-Additive	UV-Additive	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	PFAS	PFAS	PFAS	PFAS	PFAS	Siloxane	Siloxane	Siloxane	Siloxane	Siloxane	LCCP
		Name1											Name1	BT22_1	BT22_2	BT22_3	BT22_4	BT22_5	BT22-6	SC_22-1	SC_22-2	SC_22-4	SC_22-6	SC_22-7	SC_22-8	SC_22-9	SC_22-10	SC_22-11	SC_22-12	SC_22-13	SC_22-14	SC_22-15	SC_22-16	SC_22-17	SC_22-27	SC_22-28	SC_22-29	SC_22-18	SC_22-19	SC_22-20	SC_22-21	SC_22-22	SC_22-23	SC_22-24	SC_22-25	SC_22-26	CTC/CTA	BCPS	isoTAC	TAC	4,4'-ADP	TMBP	OH-BPA	44-BPS2	BIS TMC	BP-8	4-HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12-PFECA	112-PFECA	1112-PFECA	11112-PFECA	13-PFECA	L6	L7	L8	L9	L10	
		CAS_no											CAS_no	136-95-8	941-57-1 	615-22-5	883-93-2	934-34-9	149-30-4	101-87-1	NO CAS#	74-31-7 	93-46-9	101-72-4 	3081-14-9	793-24-8	04.01.3081	101-96-2	81-39-0	93-05-0	92-09-1˜˜	68015-60-1˜˜	10081-67-1	15721-78-5	3089-11-0 	102-06-7	26780-96-1	549-18-8	83799-24-0	173584-44-6 	120068-37-3	91465-08-6	2687-94-7 	901-44-0 	1025-15-6Test	101-37-1Test	42074-68-0	80-07-9	1025-15-6	101-37-1	51437-66-2	57244-54-9	142648-65-5	93589-69-6	83558-87-6	131-53-3	1137-42-4	67-66-3	75-09-2	79-01-6	127-18-4	56-23-5	75-27-4	674-13-5	39492-88-1	39492-89-2	39492-90-5	377-73-1	107-52-8	541-01-5	556-69-4	2652-13-3	556-70-7	63449-39-8
													Parameter_id	2-Aminobenzothiazole ABT	Benzothiazole-2-sulfonic acid BTSA	2-(Methylthio)benzothiazole MTBT	2-Phenylbenzothiazole PhBT	2-hydroxybenzothiazole OHBT	2-Mercaptobenzothiazole MBT	N-Cyclohexyl-N'-phenyl-4-phenylenediamine (CPPD)	6ppd- quionone	N,N'-Diphenyl-p-phenylenediamine (DPPD)	N,N'-Di-2-naphthyl-p-phenylenediamine (DNPD)	N-Isopropyl-N'-phenyl-p-phenylenediamine (IPPD)	N,N'-Bis(1,4-dimethylpentyl)-4-phenylenediamine (77PD)	˜N-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine (6PPD)	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine (7PPD)	N,N'-Bis(1-methylpropyl)-1,4-benzenediamine (44PD)	3-Methyl-6-(p-toluidino)-3H-dibenz(f,ij)isoquinoline-2,7-dione	N,N-Diethyl-p-phenylenediamine	N-{2-[(4-amino-3-methylphenyl)(ethyl)amino]ethyl}methanesulfonamide	4,4'-Bis(2-amino-benzenesulfonyl)bisphenol Ester	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	N,N-Bis(4-tert-octylphenyl)amine	2,4,6- Tris[bis(methoxymethyl)amino]- 1,3,5-triazine	1,3-Diphenylguanidine	Poly(1,2-dihydro-2,2,4-trimethylquinoline)	Amitryptyline	Fexofenadine  	Indoxacarb	Fipronil	?-Cyhalothrin	Octyl-2-pyrrolidone˜ ˜	Bisphenol A Bis(2-hydroxyethyl) Ether	Triallyl isocyanurate (1,3,5-Triallyl-1,3,5-triazinane-2,4,6-trione)	2,4,6-Tris(allyloxy)-1,3,5-triazine																												
Provenr	Medium_id	Enhet_id	Coordinates	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_name	Site_Category	Site_Comment22	Site_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofenadine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	44_BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06909	Water	ng/L	N 6648116.03, E 603920.36			44868	Appal?kka_Grei	Artificial grass pitch	Outdoor	Outdoor	column			<1	34.5	<1	<1	12.8	<1	<1	<1	<1	<1	<1	<1	5.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	391.5	<1						<1	<10	<1	<1	< 1	< 1	0.498	< 5																								1304
NR-2022-06910	Water	ng/L	N 6644256.21, E 600713.35			07.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor	Outdoor	column			13.1	170.5	<1	<1	174.5	<1	<1	<1	<1	<1	<1	<1	4	<1	<1	<1	<10	<1	<1	<1	<1	59	111	<1						<1	<10	<1	<1	< 1	< 1	< 0.25	< 5																								10.3
NR-2022-06911	Water	ng/L	N 6644164.96, E 600860.36			07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	Outdoor	column			47.5	1340	11.8	7.5	1415	<1	<1	320	<1	<1	<1	<1	17	<1	<1	<1	<10	<1	<1	<1	<1	3230	3365	130.5						8	<10	<1	<1	< 1	< 1	< 0.25	< 5																								1.3
NR-2022-06803	Granule	ng/g	N 6648116.03, E 603920.36			44704	Appal?kka_Grei	Artificial grass pitch	Outdoor	Outdoor	Grabb			21.9	162	23.9	521	158	45.3	<1	1420	41.3	<1	<1	<1	40.8	<1	<1	<1	<10	<1	<1	<1	<1	<1	6300	1610						<1	<10	<1	<1	< 5	< 2	1.042	< 2																								3935.7
NR-2022-06802	Sediment	ng/g	N 6648116.03, E 603920.36			44704	Appal?kka_Grei	Artificial grass pitch	Outdoor	Outdoor	Grabb			3.1	40.5	<1	8.2	8	4.5	<1	118.5	10.5	<1	<1	<1	73.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	760	720						<1	<10	<1	<1	< 2	< 0.2	0.251	< 2																								
NR-2022-06818	Granule	ng/g	N 6644256.21, E 600713.35			07.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor	Outdoor	Grabb			12.2	275	17.9	328	84.1	47.9	<1	782	16.9	<1	<1	<1	128	<1	<1	<1	<10	<1	<1	<1	<1	157	6880	223						<1	<10	<1	<1	< 5	< 2	0.22	< 2																			< 1	2.363	6.112	9.487	< 4	5527.443
NR-2022-06816	Sediment	ng/g				07.11.2022	Valle Hovin South	Artificial grass pitch	Outdoor	Outdoor	Grabb			<1	<1	<1	<1	<1	<1	<1	95.5	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	66.5	<1	655	4.5						<1	<10	<1	<1	< 2	< 0.2	0.86	< 2																			0.293	6.694	98.758	233.354	47.079	
NR-2022-06819	Granule	ng/g	N 6644164.96, E 600860.36			07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	Outdoor	Grabb			16.9	60.2	17.9	385	111	46.2	<1	1410	67	<1	<1	<1	181	<1	<1	<1	<10	<1	<1	<1	<1	139	8860	1120						<1	<10	<1	<1	< 5	< 2	0.268	< 2																			< 1	3.504	7.26	10.208	5.439	5232.502
NR-2022-06817	Sediment	ng/g	N 6644164.96, E 600860.36			07.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor	Outdoor	Grabb			14	108	4.5	334.5	311.5	170.5	<1	1935	530	<1	104	<1	2460	<1	<1	<1	<10	<1	<1	<1	<1	90.5	3325	13000						<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2																			1.998	5.81	18.834	12.177	< 5	
NR-2022-06821	Granule	ng/g				???	Obos1	Artificial grass pitch	Outdoor	Indoor	Grabb			37.1	517	55.3	1090	2770	242	196	4540	2200	<1	1750	<1	8050	363	<1	<1	<10	<1	<1	<1	236	4390	8060	50100						1320	<10	<1	<1	< 5	< 2	13.012	< 2																			20.738	84.92	117.897	82.47	42.289	13441.921
NR-2022-06822	Granule	ng/g				???	Obos2	Artificial grass pitch	Outdoor	Indoor	Grabb			58.8	759	59.3	1210	3280	318	253	4270	2230	<1	2560	<1	8290	268	<1	<1	<10	<1	<1	<1	119	5100	10450	52600						1390	<10	<1	<1	< 5	< 2	11.715	< 2																			21.822	83.517	112.051	68.827	26.795	6266.736
NR-2022-06823	Granule	ng/g				???	LSK	Artificial grass pitch	Outdoor	Indoor	Grabb			58.7	1310	21.9	1400	3930	252	<1	4320	2130	<1	275	<1	7410	105	<1	<1	<10	<1	<1	<1	171	4460	9100	55350						1540	<10	<1	<1	< 5	< 2	37.709	< 2																			65.446	305.528	361.994	142.927	38.496	9887.003
NR-2022-06807	Sludge	ng/g				26.-29.9.22	Bekkelaget	Wastewater treatment plant	High treatment	Summer	Grabb			2.857	<1	<1	<1	16.429	<1	<1	<1	<1	<1	<1	<1	37.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.286	37.857	<1	5	<1	<1	<1	<1	<10	<1	<1	5.052	< 0.2	< 0.2	< 2	0.1	0.5	<0.1	<0.0	0.2	1.4	10.3							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	8518.902	13804.377	21290.95	14046.195	11172.615	2477.794
NR-2022-06814	Sludge	ng/g				3.10-5.10.22	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	Grabb			<1	<1	<1	<1	17.143	<1	<1	<1	<1	<1	<1	<1	63.333	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.048	37.143	<1	4.286	<1	<1	<1	<1	<10	<1	<1	12.857	< 0.2	< 0.2	< 2	0.1	0.1	<0.1	<0.0	0.4	0.5	7.8							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	27510.161	44359	64887.8	48948.3	37440	2072.624
NR-2022-06824	Sludge	ng/g				24.11	Bekkelaget	Wastewater treatment plant	Low treatment	Summer	Grabb			<1	<1	<1	<1	<1	3.667	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.667	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	0.3	<0.1	<0.1	<0.0	<0.1	<0.2	1.9												124.56	244.155	355.092	548.123	2655.512	2273.31
NR-2022-06825	Sludge	ng/g				??	Bekkelaget	Wastewater treatment plant	Low treatment	Autumn	Grabb			<1	<1	<1	<1	<1	2.333	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	<0.1	<0.1	0.2	<0.2	<0.1	0.2	0.7												94.412	183.748	340.124	769.028	2111.042	2114.552
NR-2022-06876	Water	ng/L				44831	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	164.5	<1	<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	187	230.5	<1	281	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0.1	0.5	<0.3	<0.1	<0.2	0.2	0.7							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06877	Water	ng/L				44832	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	141.5	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	191.5	231	<1	307.5	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0.1	0.3	<0.2	<0.1	<0.1	0.1	0.7							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06878	Water	ng/L				44833	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	129.5	<1	<1	12.4	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	128.5	179	<1	306.5	<1	<1	<0.1	<10	<1	<10	<1	<1	3.345	0.067	25.804	< 2	0.1	0.3	<0.2	<0.1	<0.1	0.2	0.6												< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06899	Water	ng/L				44837	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	column			<1	174.5	<1	<1	27.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	106	166.5	<1	277.5	<1	<1	<0.1	<10	<1	<10	<1	<1	3.479	0.109	29.665	3.15	<0.1	0.1	<1.0	<0.4	<1.6	<0.1	1																	
